No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
38,Southern,Monaragala,Wellawaya,2010-03-18,Gunshot,Male,25,Subadults and adults
39,Polonnaruwa,Ampara,Dehiaththakandiya,2010-03-19,Gunshot,Male,12,Juvenile
40,Eastern,Batticaloa,Chenkalladi,2010-03-19,Poisned,Male,20-25,Subadults and adults
41,Southern,Badulla,Haldumulla,2010-03-20,Gunshot,Male,25-30,Subadults and adults
42,North Western,Unknown,Unknown,2010-03-21,Accident,Female,15,Subadults and adults
43,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-03-23,Train Accident,Female,35-40,Subadults and adults
44,Polonnaruwa,Ampara,Padiyathalawa,2010-03-27,Gunshot,Male,30,Subadults and adults
45,Polonnaruwa,Ampara,Padiyathalawa,2010-03-27,Gunshot,Male,20,Subadults and adults
46,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-03-28,Other,Female,4,Calf
47,Southern,Monaragala,Buththala,2010-03-29,Unknown,Male,14,Subadults and adults
48,Polonnaruwa,Trincomalee,Kanthale,2010-03-31,Gunshot,Male,30,Subadults and adults
49,Polonnaruwa,Polonnaruwa,Elahara,2010-03-31,Unknown,Male,35-40,Subadults and adults
50,North Western,Mannar,Musali,2010-03-31,Other,Female,5,Juvenile
51,North Western,Anuradhapura,Horowpothana,2010-04-03,Unknown,Male,50,Subadults and adults
52,Polonnaruwa,Trincomalee,Serunuwara,2010-04-03,Gunshot,Female,20,Subadults and adults
53,Eastern,Ampara,Uhana,2010-04-04,Electrocuted,Male,35-40,Subadults and adults
54,Eastern,Batticaloa,Wellaweli,2010-04-05,Gunshot,Male,30-35,Subadults and adults
55,Polonnaruwa,Badulla,Mahiyanganaya,2010-04-07,Gunshot,Male,35-40,Subadults and adults
56,Polonnaruwa,Trincomalee,Kanthale,2010-04-08,Gunshot,Male,25-30,Subadults and adults
57,Eastern,Batticaloa,Chenkalladi,2010-04-10,Gunshot,Male,12-15,Subadults and adults
58,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-04-11,Hakkapatas,Male,18,Subadults and adults
59,North Western,Anuradhapura,Palugaswewa,2010-04-13,Unknown,Female,Unknown,Unknown
60,Eastern,Ampara,Lahugala,2010-04-13,Gunshot,Male,40-45,Subadults and adults
61,Southern,Monaragala,Thanamalvila,2010-04-20,Other,Female,6 Months,Infant
62,Polonnaruwa,Trincomalee,Kanthale,2010-04-23,Unknown,Unknown,15,Subadults and adults
63,Polonnaruwa,Matale,Dambulla,2010-04-24,Electrocuted,Male,35-40,Subadults and adults
64,Polonnaruwa,Trincomalee,Morawewa,2010-04-27,Hakkapatas,Female,20-25,Subadults and adults
65,North Western,Anuradhapura,Unknown,2010-04-27,Gunshot,Male,30,Subadults and adults
66,Polonnaruwa,Trincomalee,Kanthale,2010-04-28,Gunshot,Male,25,Subadults and adults
67,Southern,Monaragala,Wallawaya,2010-05-02,Gunshot,Male,25-30,Subadults and adults
68,Eastern,Ampara,Damana,2010-05-02,Gunshot,Male,6-7,Juvenile
69,Polonnaruwa,Polonnaruwa,Welikanda,2010-05-03,Gunshot,Male,35-40,Subadults and adults
70,North Western,Anuradhapura,Horowpothana,2010-05-06,Gunshot,Male,25,Subadults and adults
71,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-05-08,Train Accident,Unknown,3,Calf
72,Polonnaruwa,Trincomalee,Kanthale,2010-05-11,Gunshot,Female,30-35,Subadults and adults
